season,conference,playoff_seed,TEAM_ID,TEAM_ABBR,seed_assignment_prob,selection_method,play_in_format,Record,wins,losses,win_pct,pred_survival_score,pred_rank_all_30,title_prob_proxy_all_30,title_prob_proxy_playoff_only
2025-26,East,1,1610612765,DET,1.0,direct_top6,standard_7_10,44-14,44,14,0.759,-0.23537344712658062,1,0.1092790870224228,0.11551475792881379
2025-26,East,2,1610612738,BOS,1.0,direct_top6,standard_7_10,39-20,39,20,0.661,-0.42394787824406527,5,0.09049825875007056,0.09566226015732122
2025-26,East,3,1610612752,NYK,1.0,direct_top6,standard_7_10,38-22,38,22,0.633,-0.3995368782381026,4,0.09273459631195698,0.09802620736027888
2025-26,East,4,1610612739,CLE,1.0,direct_top6,standard_7_10,37-24,37,24,0.607,-0.8160241939784161,9,0.061145379211116575,0.06463444992533997
2025-26,East,5,1610612761,TOR,1.0,direct_top6,standard_7_10,35-25,35,25,0.583,-1.5740991080329423,13,0.02865074311157585,0.030285608575181682
2025-26,East,6,1610612755,PHI,1.0,direct_top6,standard_7_10,33-26,33,26,0.559,-2.3182339526263545,17,0.013613262968637779,0.014390061440765996
2025-26,East,7,1610612748,MIA,0.69915,play_in_simulation,standard_7_10,32-29,32,29,0.525,-1.2289635241708567,10,0.04046004582193403,0.04276877238140202
2025-26,East,8,1610612753,ORL,0.33365,play_in_simulation,standard_7_10,31-27,31,27,0.534,-2.160259329048016,16,0.01594298880739443,0.01685272583188831
2025-26,West,1,1610612760,OKC,1.0,direct_top6,standard_7_10,46-15,46,15,0.754,-0.2510469472241231,2,0.10757965406253392,0.11371835211753967
2025-26,West,2,1610612759,SAS,1.0,direct_top6,standard_7_10,43-16,43,16,0.729,-0.36462794263501436,3,0.09602903040431648,0.1015086280782819
2025-26,West,3,1610612745,HOU,1.0,direct_top6,standard_7_10,37-22,37,22,0.627,-0.6418633296913586,6,0.07277810531080955,0.0769309613263046
2025-26,West,4,1610612743,DEN,1.0,direct_top6,standard_7_10,37-23,37,23,0.617,-0.7951892184580323,7,0.062432705831176175,0.06599523383142247
2025-26,West,5,1610612750,MIN,1.0,direct_top6,standard_7_10,37-23,37,23,0.617,-0.8128214548626835,8,0.06134152584444471,0.0648417890556788
2025-26,West,6,1610612747,LAL,1.0,direct_top6,standard_7_10,35-24,35,24,0.593,-1.576164899174691,14,0.028591617751600303,0.03022310941060111
2025-26,West,7,1610612756,PHX,0.5425,play_in_simulation,standard_7_10,34-26,34,26,0.567,-1.408643661275754,11,0.03380588254566521,0.035734909992715724
2025-26,West,8,1610612744,GSW,0.46465,play_in_simulation,standard_7_10,31-29,31,29,0.517,-1.4909291664280684,12,0.031135521007537425,0.03291217258646386
