TEAM_ABBR,playoff_seed,title_prob_5000,rank_5000,title_prob_10000,rank_10000,title_prob_20000,rank_20000,title_prob_mean,title_prob_max_min_spread,rank_std
OKC,1,0.3298,1.0,0.3324,1.0,0.3304,1.0,0.3309,0.0026,0.0
NYK,3,0.1526,2.0,0.1533,2.0,0.1536,2.0,0.1532,0.001,0.0
SAS,2,0.142,3.0,0.1448,3.0,0.1496,3.0,0.1455,0.0077,0.0
BOS,2,0.1246,4.0,0.1203,4.0,0.117,5.0,0.1206,0.0076,0.577
DET,1,0.1172,5.0,0.1183,5.0,0.1182,4.0,0.1179,0.0011,0.577
CLE,4,0.0422,6.0,0.041,6.0,0.0419,6.0,0.0417,0.0012,0.0
MIN,3,0.0376,7.0,0.0364,7.0,0.0362,7.0,0.0367,0.0014,0.0
DEN,4,0.0208,8.0,0.0215,8.0,0.0215,8.0,0.0213,0.0007,0.0
HOU,5,0.0164,9.0,0.0169,9.0,0.0167,9.0,0.0167,0.0005,0.0
GSW,8,0.003,13.0,0.0038,10.0,0.0036,10.0,0.0035,0.0008,1.732
CHA,8,0.0046,10.0,0.0037,11.0,0.0032,11.0,0.0038,0.0014,0.577
LAL,6,0.0042,11.0,0.0034,12.0,0.0032,11.0,0.0036,0.001,0.577
MIA,7,0.0032,12.0,0.0023,13.0,0.0024,13.0,0.0026,0.0009,0.577
PHX,7,0.0008,15.0,0.0013,14.0,0.0014,14.0,0.0012,0.0006,0.577
TOR,5,0.001,14.0,0.0006,15.0,0.0008,15.0,0.0008,0.0004,0.577
PHI,6,0.0,16.0,0.0,16.0,0.0001,16.0,0.0,0.0001,0.0
