feature,n_rows,null_pct,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,val_single_feature_c_index,val_champion_top3_rate,val_champion_top5_rate,orientation
rs_vs_top_teams_win_pct,240,0.0,0.491901254680173,4.997088052754838e-16,0.48904213630805626,7.798787314317257e-16,0.491901254680173,0.6954248366013072,1.0,1.0,higher_better
rs_fta,240,0.0,-0.11746157226829251,0.06929375725448864,-0.1104398825782568,0.08778098589658301,0.11746157226829251,0.6908496732026144,0.6666666666666666,1.0,lower_better
rs_ft_rate,240,0.0,-0.07485224131907771,0.24801955712473614,-0.07778468493905234,0.22992049923940938,0.07485224131907771,0.6836601307189543,0.6666666666666666,0.6666666666666666,lower_better
rs_off_rating,240,0.0,0.24812893810407172,0.00010239070361986035,0.24419889967936484,0.00013270901980928698,0.24812893810407172,0.677124183006536,0.6666666666666666,1.0,higher_better
rs_win_pct,240,0.0,0.6014679088873641,5.2923630740298675e-25,0.6297449971005757,6.385129061560236e-28,0.6014679088873641,0.6705882352941176,0.6666666666666666,1.0,higher_better
rs_ftm,240,0.0,-0.03980094128368662,0.5394680591271328,-0.056415607663248026,0.3842364191711982,0.03980094128368662,0.6679738562091503,0.3333333333333333,1.0,lower_better
rs_net_rating,240,0.0,0.5452609703338536,5.461822237404187e-20,0.5619416013847398,2.2288811562982442e-21,0.5452609703338536,0.6588235294117647,0.6666666666666666,0.6666666666666666,higher_better
rs_efg_pct,240,0.0,0.2996338181653488,2.2817284235684256e-06,0.2807844268993423,1.003807729230049e-05,0.2996338181653488,0.6274509803921569,0.6666666666666666,0.6666666666666666,higher_better
rs_ppg,240,0.0,0.14990080826794433,0.02016457331881141,0.14638449732808798,0.02331878282811234,0.14990080826794433,0.6222222222222222,0.3333333333333333,0.6666666666666666,higher_better
rs_fg3m,240,0.0,0.1360852629411345,0.03511507835930344,0.1395734778571784,0.03065168096751814,0.1360852629411345,0.6078431372549019,0.3333333333333333,0.6666666666666666,higher_better
rs_ts_pct,240,0.0,0.3142553318758832,6.713429523124212e-07,0.30350093072874007,1.6615876201709961e-06,0.3142553318758832,0.6065359477124183,0.6666666666666666,1.0,higher_better
rs_fgm,240,0.0,0.1557979554021112,0.015701532255452108,0.12583107026243395,0.05154259217275413,0.1557979554021112,0.6052287581699346,0.6666666666666666,1.0,higher_better
rs_fg3a,240,0.0,0.09356616059965256,0.14842275457801699,0.0969849125821655,0.13408818537180012,0.09356616059965256,0.592156862745098,0.3333333333333333,0.6666666666666666,higher_better
rs_three_pt_rate,240,0.0,0.10700611448268071,0.09816234525441864,0.10799130535616173,0.09508875740515138,0.10700611448268071,0.5830065359477125,0.3333333333333333,0.3333333333333333,higher_better
rs_close_game_win_pct,240,0.0,0.21822811860475394,0.0006634656984400736,0.2169977129413078,0.0007128673220144133,0.21822811860475394,0.5803921568627451,0.3333333333333333,0.3333333333333333,higher_better
rs_vs_top_teams_games,240,0.0,-0.21499849602036802,0.0008004303207501235,-0.2281786153338197,0.0003658048118462576,0.21499849602036802,0.5562091503267974,0.6666666666666666,0.6666666666666666,lower_better
rs_fg_pct,240,0.0,0.33887667481820716,7.343716155019052e-08,0.28866135701975265,5.47497224418515e-06,0.33887667481820716,0.5398692810457516,0.3333333333333333,0.3333333333333333,higher_better
rs_def_rating,240,0.0,-0.11267241391875868,0.08151692304361526,-0.1245047267157363,0.05407311556145888,0.11267241391875868,0.5372549019607843,0.6666666666666666,0.6666666666666666,lower_better
rs_close_game_count,240,0.0,-0.20278077829754146,0.001588891009868797,-0.196514666759769,0.002225409302711794,0.20278077829754146,0.515032679738562,0.3333333333333333,0.3333333333333333,lower_better
rs_dreb,240,0.0,0.14404930213822226,0.025641227395592166,0.1565950463867948,0.015170030727502495,0.14404930213822226,0.5104575163398692,0.3333333333333333,0.6666666666666666,higher_better
rs_blk,240,0.0,0.18381241530381198,0.004274948713062298,0.1453783246998068,0.024296220295896315,0.18381241530381198,0.5058823529411764,0.6666666666666666,0.6666666666666666,higher_better
rs_blk_rate,240,0.0,0.19101078975892566,0.002967534526075736,0.15062518963288282,0.019562862389554,0.19101078975892566,0.4980392156862745,0.6666666666666666,0.6666666666666666,higher_better
rs_stl,240,0.0,0.05006027591794339,0.44013475123757906,0.022463716545266094,0.7291674611572765,0.05006027591794339,0.4699346405228758,0.3333333333333333,0.6666666666666666,higher_better
rs_stl_rate,240,0.0,0.06238372883082877,0.3358805614662458,0.022660240042823385,0.72689187514627,0.06238372883082877,0.45751633986928103,0.3333333333333333,0.6666666666666666,higher_better
rs_fga,240,0.0,-0.04052029179486402,0.5321568333465305,-0.013654571043463277,0.8333234031339032,0.04052029179486402,0.3934640522875817,0.0,0.0,lower_better
rs_tov,240,0.0,0.052457372929924945,0.41852637296262624,0.04833532596517585,0.45606982747872643,0.052457372929924945,0.36797385620915035,0.0,0.3333333333333333,higher_better
rs_tov_rate,240,0.0,0.07896140530470488,0.2229268650309804,0.06684841142366117,0.3023727481520275,0.07896140530470488,0.36209150326797385,0.3333333333333333,0.3333333333333333,higher_better
